Sila;Przemieszczenie
54.82674;-1.098625
60.88734;-0.9480001
66.76595;-0.79825
73.20166;-0.6488751
79.57935;-0.498375
85.47067;-0.347875
91.27458;-0.19825
98.21654;-0.048875
104.6014;0.101375
104.804;0.200125
93.93533;0.2045
89.42763;0.2045
86.75496;0.2045
85.23862;0.2045
83.57286;0.2045
82.50793;0.2045
81.65598;0.2045
80.58548;0.2045
80.03314;0.2045
79.50227;0.2045
78.58038;0.2045
78.35786;0.2045
77.75307;0.2045
77.21663;0.2045
77.00999;0.2045
76.47673;0.2045
76.01976;0.2045
75.96651;0.2045
75.37206;0.2045
75.13682;0.2045
75.00172;0.2045
74.4621;0.2045
74.41044;0.2045
74.22368;0.2045
73.70154;0.2045
73.80644;0.2045
73.42657;0.2045
73.14841;0.2045
73.09595;0.2045
72.73833;0.2045
72.56031;0.2045
72.6366;0.2045
72.18282;0.2045
72.15818;0.2045
72.11765;0.2045
71.68134;0.2045
71.76002;0.2045
71.55577;0.2045
71.25378;0.2045
71.40239;0.2045
71.08212;0.2045
70.86277;0.2045
71.05112;0.2045
70.64342;0.2045
70.59972;0.2045
70.62356;0.2045
70.30408;0.2045
70.30487;0.2045
70.34222;0.2045
69.94406;0.2045
70.08632;0.2045
69.91466;0.2045
69.67624;0.2045
69.77319;0.2045
69.54591;0.2045
69.39093;0.2045
69.55942;0.2045
69.17953;0.2045
69.30351;0.2045
69.25424;0.2045
68.91569;0.2045
69.01979;0.2045
68.98562;0.2045
68.6423;0.2045
68.8672;0.2045
68.66614;0.2045
68.48891;0.2045
68.63673;0.2045
68.40308;0.2045
68.30374;0.2045
68.44362;0.2045
68.15115;0.2045
68.1742;0.2045
68.24652;0.2045
67.89287;0.2045
68.06612;0.2045
67.98347;0.2045
67.69498;0.2045
67.92148;0.2045
67.75538;0.2045
67.5257;0.2045
67.79829;0.2045
67.48756;0.2045
67.40888;0.2045
67.51696;0.2045
67.35325;0.2045
67.32623;0.2045
67.35007;0.2045
67.07668;0.2045
67.34451;0.2045
67.16172;0.2045
66.95906;0.2045
67.18398;0.2045
67.02661;0.2045
66.76356;0.2045
67.09417;0.2045
66.73495;0.2045
66.75005;0.2045
66.84701;0.2045
66.66183;0.2045
66.65388;0.2045
66.70475;0.2045
66.38765;0.2045
66.68965;0.2045
66.43216;0.2045
66.41547;0.2045
66.52116;0.2045
66.33838;0.2045
66.25017;0.2045
66.51402;0.2045
66.1405;0.2045
66.21202;0.2045
66.28036;0.2045
66.01015;0.2045
66.13175;0.2045
66.19374;0.2045
65.89969;0.2045
66.1246;0.2045
65.97598;0.2045
65.83611;0.2045
66.04592;0.2045
65.7781;0.2045
65.79161;0.2045
65.92194;0.2045
65.67239;0.2045
65.76856;0.2045
65.78764;0.2045
65.47212;0.2045
65.73359;0.2045
65.62789;0.2045
65.40298;0.2045
65.61915;0.2045
65.47054;0.2045
65.30285;0.2045
65.63902;0.2045
65.25198;0.2045
65.36007;0.2045
65.36246;0.2045
65.17013;0.2045
65.26311;0.2045
65.35053;0.2045
65.01516;0.2045
65.29729;0.2045
65.11609;0.2045
64.98416;0.2045
65.26073;0.2045
65.02946;0.2045
64.92535;0.2045
65.19159;0.2045
64.85542;0.2045
64.98416;0.2045
64.96429;0.2045
64.77197;0.2045
64.91502;0.2045
64.88959;0.2045
64.68296;0.2045
64.87608;0.2045
64.68057;0.2045
64.58759;0.2045
64.83316;0.2045
64.48746;0.2045
64.58601;0.2045
64.74733;0.2045
64.44852;0.2045
64.53196;0.2045
64.6472;0.2045
64.34361;0.2045
64.57964;0.2045
64.4803;0.2045
64.34043;0.2045
64.49541;0.2045
64.37064;0.2045
64.21407;0.2045
64.54945;0.2045
64.20294;0.2045
